,retentate_flow,permeate_flow,retentate_O2,permeate_O2,stage_cut,stage,membrane,configuration,rpm,feed_flow,p_out_psia
2032,8489.565039992433,3710.4349600084515,0.13336572589672271,0.38205305069349466,0.30413401311544686,1,O,OONO,3500,12200,127.8312
2033,5333.849234360185,3155.715805637154,0.07360989525271219,0.23436613628510722,0.3717170185717744,2,O,OONO,3500,12200,127.8312
2034,3862.4329691378666,1471.4162652751183,0.04274340166500055,0.15463371106972718,0.2758638650294772,3,N,OONO,3500,12200,127.8312
2035,1191.932844442942,2670.5001246947854,0.015556239919296992,0.05487793434335481,0.6914036168479754,4,O,OONO,3500,12200,127.8312
2036,8601.944895869556,3698.0551041307863,0.13406973498829752,0.3832932413130317,0.30065488651469807,1,O,OONO,3500,12300,127.28729999999997
2037,5453.07515692569,3148.869738945449,0.0746454963599559,0.23697803739955603,0.36606485824589036,2,O,OONO,3500,12300,127.28729999999997
2038,3983.77562410261,1469.299532841264,0.04385755823554954,0.15812216945333477,0.26944421093759857,3,N,OONO,3500,12300,127.28729999999997
2039,1320.144702558175,2663.6309215505685,0.01634257446715502,0.057494491710892014,0.668619714783907,4,O,OONO,3500,12300,127.28729999999997
2040,8714.434687673229,3685.5653123268385,0.13476930508704432,0.3845167763468051,0.297223009058616,1,O,OONO,3500,12400,126.7434
2041,5572.510779252067,3141.9239084219403,0.07567992873873393,0.23957012020070237,0.3605424816444221,2,O,OONO,3500,12400,126.7434
2042,4105.36156128147,1467.149217976545,0.044975318861337675,0.16159724587851546,0.2632833342268498,3,N,OONO,3500,12400,126.7434
2043,1448.5422728546991,2656.819288428111,0.017144455991088027,0.060149170322248736,0.6471584168091633,4,O,OONO,3500,12400,126.7434
2044,8827.033502256376,3672.9664977435705,0.13546446734439943,0.385723803703164,0.29383731981948563,1,O,OONO,3500,12500,126.1995
2045,5692.155893467172,3134.8776087896567,0.07671310992303318,0.24214227972632762,0.3551450901356969,2,O,OONO,3500,12500,126.1995
2046,4227.19181464006,1464.9640788278161,0.04609647319343521,0.16505820844387808,0.25736541764591164,3,N,OONO,3500,12500,126.1995
2047,1577.132418753188,2650.0593958871987,0.017961596448396643,0.06284040967937805,0.6269077704752434,4,O,OONO,3500,12500,126.1995
2048,8939.740432011045,3660.2595679891006,0.1361552526211514,0.38691446789643297,0.29049679111024607,1,O,OONO,3500,12600,125.65559999999999
2049,5812.010265522136,3127.7301664890583,0.07774495942177397,0.2446944186025116,0.3498681186860207,2,O,OONO,3500,12600,125.65559999999999
2050,4349.26740467258,1462.7428608504779,0.04722081578972401,0.1685043583428124,0.2516758907890657,3,N,OONO,3500,12600,125.65559999999999
2051,1705.9216109061047,2643.345793815377,0.01879370677643063,0.06556665750889246,0.6077680555984054,4,O,OONO,3500,12600,125.65559999999999
2052,9052.554574813868,3647.445425186127,0.1368416914898819,0.3880889100912424,0.28720042718001,1,O,OONO,3500,12700,125.11169999999998
2053,5932.073635524412,3120.4809392895177,0.0787753986774999,0.2472264467266487,0.3447072219781319,2,O,OONO,3500,12700,125.11169999999998
2054,4471.589297001874,1460.4843385218292,0.048348145833496524,0.17193502698204727,0.24620131647990212,3,N,OONO,3500,12700,125.11169999999998
2055,1834.9083729356876,2636.6809240702078,0.019640491658832075,0.06832626026763852,0.5896518550659512,4,O,OONO,3500,12700,125.11169999999998
2056,9165.475033977102,3634.5249660229156,0.13752381423731003,0.38924726814537114,0.2839472629705403,1,O,OONO,3500,12800,124.56779999999999
