,configuration,rpm,feed_flow,p_ratio,p_out_psia,O2_product_flow,O2_product_O2,N2_product_flow,N2_product_O2,theta_1,theta_2,theta_3,theta_4,min_stage_cut,max_stage_cut,O2_flow_met,O2_purity_met,N2_flow_met,N2_purity_met,product_specs_met,stage_cuts_valid,stage_cut_penalty,ideal_power_kW
83,ONOO,2500,9200,7.454,109.57379999999999,3052.1944263029623,0.36569086630031544,128.75053508025977,0.012756479416268514,0.33176026372858286,0.22815968001179363,0.5056950105797373,0.945108327687169,0.22815968001179363,0.945108327687169,False,False,False,True,False,False,0.6508033382669063,46.010767018542424
84,ONOO,2500,9300,7.426,109.1622,3044.2501106671652,0.3671813132185608,245.44381246110845,0.013610029384574158,0.3273387215771145,0.22398643554325665,0.49371650903426734,0.9001358447486779,0.22398643554325665,0.9001358447486779,False,False,False,True,False,False,0.5938523537829452,46.39642150243944
85,ONOO,2500,9400,7.398,108.75059999999999,3036.189337035343,0.3686468233231842,362.3168374012863,0.014482426286124072,0.32299886564205776,0.219938082151665,0.4822381129004703,0.8590347350531514,0.219938082151665,0.8590347350531514,False,False,False,True,False,False,0.5412728479536217,46.779302415272255
86,ONOO,2500,9500,7.37,108.339,3028.0135787498307,0.3700877798272031,479.3630400328904,0.015373104567020736,0.3187382714473506,0.21600869677170237,0.47122899427411347,0.8213314676109758,0.21600869677170237,0.8213314676109758,False,False,False,True,False,False,0.4925604618850892,47.15939775053165
87,ONOO,2500,9600,7.3420000000000005,107.9274,3019.7242876833766,0.37150455618482425,596.596029557378,0.016281540447791246,0.3145546133003517,0.2121927308740369,0.4606597032271593,0.7866201456452315,0.2121927308740369,0.7866201456452315,False,False,False,True,False,False,0.4472798488723908,47.53669539406867
88,ONOO,2500,9700,7.314,107.5158,3011.3228954021915,0.37289751632591317,714.0202251859507,0.017207195257211854,0.31044565931981355,0.20848498135306692,0.4505037277680434,0.754559417823566,0.20848498135306692,0.754559417823566,False,False,False,True,False,False,0.40506314559160933,47.911183122674785
89,ONOO,2500,9800,7.2860000000000005,107.1042,3002.810813945438,0.3742670148916587,831.6349011156093,0.01814953071855073,0.30640926672912633,0.20488056407103547,0.4407365750474385,0.7248594749426215,0.20488056407103547,0.7248594749426215,False,False,False,True,False,False,0.36559604999005996,48.28284860263754
90,ONOO,2500,9900,7.258,106.6926,2994.189436429507,0.3756133974711316,949.4558660803953,0.019108032106972296,0.30244337741712196,0.2013748897902997,0.4313356181996543,0.6972660461832457,0.2013748897902997,0.6972660461832457,False,False,False,True,False,False,0.3286016643829,48.6516793882711
91,ONOO,2500,10000,7.23,106.281,2985.4601375021953,0.376937000832432,1067.4705987620962,0.02008215630424768,0.29854601375021955,0.197963642243102,0.42227993383429224,0.6715681806126941,0.197963642243102,0.6715681806126941,False,False,False,True,False,False,0.29588447220388425,49.017662920421145
92,ONOO,2500,10100,7.197,105.79589999999999,2974.4139725852406,0.37829190302289006,1191.669191810008,0.02113599327452961,0.2944964329292317,0.1944567372054088,0.4130714268306153,0.6462788717081346,0.1944567372054088,0.6462788717081346,False,False,False,True,False,False,0.2648935613333411,49.35806137312792
